"CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","DE01","DE02","DE03","DE08_01","DE05","DE06","SC01","SC02","SC03","SC04","SC05","SC06_01","SU01_01","SU01_02","SU01_03","SU01_04","SU01_05","SU02_01","SU02_02","SU02_03","SU02_04","SU02_05","SU03_01","SU03_02","SU03_03","SU03_04","SU03_05","SU03_06","SU04_01","SU04_02","SU04_03","SU04_04","SU04_05","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","BF","BG","BH","BI","BJ","BK","BL","BM","BN","BO","BP","BQ","BR","BS","BT","BU","BV","BW","BX","BY","BZ","CA","CB","CC","CD","CE","CF","CG","CH","CI","CJ","CK","CL","CM","CN","CO","CP","CQ","CR","CS","CT","CU","CV","CW","CX","CY","CZ","DA","DB","DC","DD","DE","DF","DG","DH","DI","DJ"
"Interview number (sequential)","Serial number (if provided)","Reference (if provided in link)","Questionnaire that has been used in the interview","Interview mode","Time the interview has started (Europe/Berlin)","Study program","Year of study","Field of study","Age group: [01]","Gender","Citizenship","Consent","DQ Overall","DQ Relunctance","DQ Meaningless Responses","DQ Distraction","DQ Research Question: [01]","SRH Berlin Administration: a) The administrative staff are helpful when I have questions or issues.","SRH Berlin Administration: b) Administrative processes (such as course registration, enrollment, or paperwork) are efficiently handled.","SRH Berlin Administration: c) The university provides clear information about administrative procedures.","SRH Berlin Administration: d) When I contact administrative offices, I receive prompt solutions to my inquiries.","SRH Berlin Administration: e) Student issues/requests are handled with professional care by the university’s administration.","SRH Berlin Infrastructure: a) Classrooms, laboratories, and other learning spaces are well-equipped with properly maintained equipment.","SRH Berlin Infrastructure: b) There are enough common spaces on campus for students to work and collaborate.","SRH Berlin Infrastructure: c) The campus Wi-Fi/internet access are reliable throughout the campus.","SRH Berlin Infrastructure: d) General campus facilities (e.g., cafeteria, restrooms, lounges) are well-maintained (i.e. clean, functioning and free from defects)","SRH Berlin Infrastructure: e) The university’s IT resources (such as computer labs, available software, and equipment) support my studies well.","SRH Berlin Academics: a) The lecturers/professors are knowledgeable in their subject areas.","SRH Berlin Academics: b) The teaching methods used by instructors are effective in helping me learn.","SRH Berlin Academics: c) Courses in my program are well-organized.","SRH Berlin Academics: d) The content in my course is clearly structured.","SRH Berlin Academics: e) The way my learning is assessed (exams, assignments) is fair and transparent.","SRH Berlin Academics: f) I receive useful feedback on my coursework (e.g., comments on assignments, exam feedback) that helps me improve.","SRH Berlin Satisfaction: a) Overall, I am satisfied with my experience as a student at this university.","SRH Berlin Satisfaction: b) If I were to make the choice again, I would choose to attend SRH Berlin once more.","SRH Berlin Satisfaction: c) I would recommend SRH Berlin to others who are considering it for their studies.","SRH Berlin Satisfaction: d) My experience at this university has met my expectations.","SRH Berlin Satisfaction: e) I believe that the education I am receiving is high quality overall.","Time spent on page 1","Time spent on page 2","Time spent on page 3","Time spent on page 4","Time spent on page 5","Time spent on page 6","Time spent on page 7","Time spent overall (except outliers)","Time when the invitation mailing was sent (personally identifiable recipients, only)","Time when the data was most recently updated","Interview status marker","Has the interview been finished (reached last page)?","Did the respondent only view the questionnaire, omitting mandatory questions?","Last page that the participant has handled in the questionnaire","Hindmost page handled by the participant","Missing answers in percent","Missing answers (weighted by relevance)","Completion Speed (relative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","1",,"base","interview","2026-01-15 20:09:46","1","2","1","27","2","2","2","1","4","1","1",,"4","2","3","1","2","4","1","5","4","2","5","4","4","5","5","4","4","3","4","3","4","5","30","18","33","23","23","16","148",,"2026-01-15 20:12:14","complete","1","0","7","7","3","0","1.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","2",,"base","interview","2026-01-15 20:58:03","1","2","1","25","2","2","2","1","4","1","1",,"2","2","2","1","2","4","2","4","4","3","5","4","4","4","5","4","4","3","4","4","4","2","29","34","24","26","27","28","170",,"2026-01-15 21:00:53","complete","1","0","7","7","3","0","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","3",,"base","interview","2026-01-15 21:25:33","1","3","1","22","1","2","2","1","4","1","1",,"3","4","3","4","2","5","5","5","5","4","4","3","5","4","2","4","3","2","3","3","3","16","45","20","50","31","48","29","239",,"2026-01-15 21:29:32","complete","1","0","7","7","3","0","0.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"54","4",,"base","interview","2026-01-15 21:45:44","1","3","1","23","1","2","2","1","4","1","1",,"4","3","4","4","3","4","2","5","4","4","5","4","5","4","4","3","3","3","4","4","4","27","43","38","37","22","37","40","244",,"2026-01-15 21:49:48","complete","1","0","7","7","3","0","0.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"66","5",,"base","interview","2026-01-15 21:54:03","2","2","2","23","1","2","2","1","4","1","2",,"4","3","3","3","3","5","4","4","4","3","4","4","2","3","2","3","4","3","4","3","3","21","35","22","28","32","47","40","225",,"2026-01-15 21:57:48","complete","1","0","7","7","3","0","0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"71","6",,"base","interview","2026-01-15 21:59:56","1","3","4","20","1","2","2","1","4","1","2",,"4","3","3","4","3","3","4","5","2","4","3","3","2","3","3","3","3","2","3","4","3","6","36","19","30","26","33","22","172",,"2026-01-15 22:02:49","complete","1","0","7","7","3","0","0.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"74","7",,"base","interview","2026-01-15 22:32:58","1","6","1","22","1","2","2","1","4","1","1",,"3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","15","30","10","206","13","24","26","143",,"2026-01-15 22:38:22","complete","1","0","7","7","3","0","1.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"91","8",,"base","interview","2026-01-15 22:52:02","1","3","1","21","2","2","2","1","4","1","1",,"5","4","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","6","368","19","17","6","27","30","134",,"2026-01-15 22:59:55","complete","1","0","7","7","3","0","1.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"95","9",,"base","interview","2026-01-15 23:06:29","1","2","1","22","2","2","2","1","4","1","1",,"1","2","2","1","1","4","4","4","4","3","3","3","1","2","2","2","3","1","1","1","2","7","76","24","51","44","41","35","278",,"2026-01-15 23:11:07","complete","1","0","7","7","3","0","0.67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
